"Jurisdiction","State","Year","Week","Death_Count","Period","Avg_No_Deaths","Variance_2015_2019_2020","Perc_Diff_2015_2019_2020"
"Arkansas","AR","2021",22,50,"2023",130,6,11.3
"Alabama","AL","2021",48,103,"2023",65,7,5.8
"Arkansas","AR","2020",25,57,"2022",152,5,9.8
"Alabama","AL","2020",30,110,"2020",65,25,29.9
"Alabama","AL","2022",33,89,"2023",111,0,0
"Alabama","AL","2023",12,87,"2021",110,-3,-2.7
"Arizona","AZ","2022",46,129,"2023",66,36,34
"Arizona","AZ","2023",32,137,"2022",111,51,51.9
"Arizona","AZ","2021",11,109,"2022",97,6,6
"Arizona","AZ","2021",51,129,"2020",58,32,34
"Arizona","AZ","2020",13,123,"2021",95,13,13.7
"Arizona","AZ","2022",23,125,"2022",124,28,27.6
"Arkansas","AR","2021",2,84,"2021",97,12,15
"Alabama","AL","2020",23,91,"2023",45,16,17.2
"Alabama","AL","2021",6,109,"2021",85,1,3.9
"Arkansas","AR","2020",25,71,"2020",72,24,39.5
"Arizona","AZ","2023",1,143,"2021",97,44,44.9
"Arkansas","AR","2021",4,54,"2023",132,-3,-7.4
"Arizona","AZ","2021",37,121,"2022",114,31,33.7
"Arkansas","AR","2021",20,58,"2020",64,10,20.9
"Alabama","AL","2021",34,94,"2020",139,15,18.2
"Arkansas","AR","2020",6,65,"2020",58,6,10
"Arizona","AZ","2022",38,124,"2022",100,37,38.5
"Alabama","AL","2022",31,87,"2020",96,4,5.1
"Alabama","AL","2023",28,77,"2021",82,6,7.3
"Alabama","AL","2023",27,91,"2020",109,16,20.5
"Arkansas","AR","2022",8,65,"2021",134,4,6.6
"Arizona","AZ","2021",18,112,"2022",72,20,24.7
"Arkansas","AR","2021",3,56,"2022",57,-4,-3.3
"Alabama","AL","2020",9,113,"2023",148,9,7.9
"Alabama","AL","2023",11,82,"2021",59,-13,-16
"Arizona","AZ","2021",42,123,"2020",99,28,27
"Arizona","AZ","2022",30,126,"2023",81,37,41.6
"Arizona","AZ","2021",40,116,"2022",45,26,33.3
"Arkansas","AR","2022",1,58,"2022",112,-4,-6.7
"Arizona","AZ","2021",50,129,"2021",137,24,23.4
"Alabama","AL","2022",4,152,"2023",152,39,34.3
"Arkansas","AR","2022",16,63,"2023",100,14,26.8
"Arkansas","AR","2022",4,84,"2022",124,15,29.5
"Alabama","AL","2022",11,97,"2022",110,1,2
"Alabama","AL","2022",12,76,"2020",59,-17,-14.7
"Arizona","AZ","2021",39,130,"2020",97,43,43.2
"Arizona","AZ","2023",19,126,"2022",89,40,57.5
"Arkansas","AR","2021",10,54,"2022",83,-3,-8.2
"Arkansas","AR","2020",26,56,"2020",60,9,20.9
"Arkansas","AR","2022",2,81,"2022",114,21,33.3
"Arizona","AZ","2020",38,111,"2021",91,20,23.6
"Alabama","AL","2020",53,110,"2023",114,24,29.1
"Arkansas","AR","2022",17,65,"2023",48,21,49
"Arizona","AZ","2022",32,119,"2021",109,29,28.4
"Arkansas","AR","2021",11,50,"2022",119,-4,-4.9
"Alabama","AL","2023",32,89,"2023",83,11,10.9
"Alabama","AL","2020",23,100,"2022",131,23,28.9
"Alabama","AL","2020",41,101,"2023",64,16,20.5
"Alabama","AL","2022",7,120,"2023",122,12,12.8
"Alabama","AL","2020",43,107,"2023",61,19,22.2
"Arkansas","AR","2021",14,46,"2023",58,-6,-11.9
"Alabama","AL","2022",2,137,"2021",99,34,31.2
"Arizona","AZ","2020",35,109,"2021",138,15,15.4
"Arizona","AZ","2023",3,147,"2020",56,27,26.9
"Arkansas","AR","2020",8,59,"2020",127,-9,-15.3
"Arkansas","AR","2023",1,66,"2020",131,4,6.7
"Arkansas","AR","2021",15,60,"2022",93,17,33.3
"Arkansas","AR","2022",14,58,"2022",85,5,8.3
"Arizona","AZ","2021",17,106,"2023",107,10,9.9
"Arizona","AZ","2023",19,133,"2023",111,34,33.7
"Arizona","AZ","2022",18,119,"2023",89,16,15
"Alabama","AL","2021",29,90,"2021",90,1,1.2
"Arkansas","AR","2023",21,47,"2023",77,-7,-14.9
"Arkansas","AR","2021",2,58,"2022",62,-5,-8
"Alabama","AL","2022",34,111,"2021",110,46,55
"Alabama","AL","2023",35,102,"2020",134,14,16.5
"Arizona","AZ","2023",32,112,"2021",63,15,14.3
"Arizona","AZ","2020",49,120,"2021",57,18,18.2
"Arkansas","AR","2021",28,53,"2021",124,9,20.9
"Alabama","AL","2020",21,94,"2023",53,13,16.5
"Arizona","AZ","2022",41,139,"2022",109,51,63.8
"Alabama","AL","2023",4,97,"2020",94,-4,-3.7
"Alabama","AL","2020",8,99,"2020",122,12,10.9
"Arizona","AZ","2022",17,133,"2020",131,45,48.4
"Alabama","AL","2022",42,81,"2022",132,-12,-10.5
"Alabama","AL","2020",43,101,"2022",97,20,25
"Arizona","AZ","2021",51,124,"2023",124,24,22.6
"Arizona","AZ","2022",34,137,"2020",97,51,56.2
"Alabama","AL","2022",34,116,"2022",51,34,40
"Arkansas","AR","2021",3,66,"2021",131,5,8.3
"Alabama","AL","2021",25,81,"2022",61,-7,-8.2
"Alabama","AL","2020",8,90,"2020",73,-11,-16.1
"Arkansas","AR","2021",23,63,"2023",92,11,20.9
"Arizona","AZ","2021",15,120,"2021",93,19,17.5
"Arkansas","AR","2022",19,50,"2020",104,1,1.2
"Alabama","AL","2023",12,84,"2020",88,-2,-3.1
"Alabama","AL","2022",7,120,"2020",62,16,15.4
"Alabama","AL","2021",35,97,"2020",117,15,17
"Alabama","AL","2023",12,84,"2022",97,0,0
"Arizona","AZ","2021",11,109,"2021",83,-3,-2.3
"Arkansas","AR","2023",1,66,"2021",125,4,4.8
"Alabama","AL","2020",39,100,"2021",119,18,21.8
"Arkansas","AR","2020",6,64,"2021",84,4,6.5
"Alabama","AL","2021",35,103,"2020",88,13,16
"Alabama","AL","2021",42,99,"2021",111,16,18.2
"Arizona","AZ","2021",23,93,"2023",107,-3,-2.2
"Arizona","AZ","2022",36,119,"2021",84,24,22.6
"Arizona","AZ","2023",6,123,"2020",150,19,18.2
"Arizona","AZ","2020",41,118,"2021",139,26,28.3
"Arkansas","AR","2020",19,52,"2023",119,4,6.6
"Arkansas","AR","2023",25,47,"2021",138,-4,-7.4
"Arkansas","AR","2021",7,70,"2023",134,4,6.6
"Arizona","AZ","2023",26,105,"2021",76,10,9.2
"Alabama","AL","2023",25,94,"2022",107,22,23.8
"Alabama","AL","2021",10,89,"2022",172,-3,-3
"Arizona","AZ","2020",34,126,"2023",113,40,57.5
"Arizona","AZ","2022",5,148,"2023",143,38,31.2
"Alabama","AL","2022",46,106,"2020",57,19,24.4
"Alabama","AL","2021",45,107,"2021",92,30,34.4
"Arizona","AZ","2023",14,139,"2021",154,37,36.8
"Arizona","AZ","2020",49,129,"2023",137,22,21
"Arizona","AZ","2020",44,111,"2022",56,7,6.1
"Arkansas","AR","2022",5,80,"2020",101,22,33.3
"Arkansas","AR","2022",20,57,"2022",57,9,20.9
"Alabama","AL","2020",36,110,"2022",94,25,29.9
"Arizona","AZ","2020",47,129,"2023",124,24,24.2
"Alabama","AL","2023",1,102,"2022",141,6,7.7
"Arizona","AZ","2023",26,126,"2021",52,40,51.8
"Alabama","AL","2021",23,87,"2021",157,1,1.1
"Arkansas","AR","2022",7,70,"2022",57,9,19.4
"Alabama","AL","2021",16,87,"2020",84,-6,-6.1
"Arizona","AZ","2022",43,130,"2020",143,21,21.3
"Arkansas","AR","2021",15,46,"2023",100,-8,-10.2
"Alabama","AL","2021",16,80,"2022",92,-1,-2
"Alabama","AL","2021",21,95,"2020",103,15,18.2
"Arizona","AZ","2020",31,95,"2022",100,-3,-2.2
"Alabama","AL","2022",50,121,"2021",102,19,18.4
"Arkansas","AR","2023",9,54,"2023",107,-9,-11.2
"Alabama","AL","2021",22,81,"2021",115,-10,-17
"Arizona","AZ","2021",47,119,"2021",97,22,22
"Arizona","AZ","2020",20,131,"2020",130,40,43.9
"Alabama","AL","2020",8,108,"2022",121,4,3.8
"Alabama","AL","2021",13,87,"2022",110,1,0.9
"Alabama","AL","2020",26,86,"2022",104,0,0
"Alabama","AL","2021",14,87,"2022",113,2,2.2
"Arizona","AZ","2020",33,126,"2020",114,41,51.8
"Arkansas","AR","2023",19,50,"2020",145,9,21.2
"Alabama","AL","2021",5,122,"2020",103,23,24.2
"Alabama","AL","2020",49,99,"2021",97,13,16.5
"Alabama","AL","2020",44,97,"2022",54,5,5.7
"Arkansas","AR","2023",3,66,"2020",83,-1,-2
"Alabama","AL","2021",2,122,"2023",126,13,11.9
"Alabama","AL","2022",25,91,"2023",65,12,11.8
"Arizona","AZ","2021",7,112,"2021",56,16,14.3
"Arkansas","AR","2020",27,52,"2021",136,9,20.9
"Alabama","AL","2023",20,94,"2020",72,10,9.6
